func,v
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,12.9338
E,f,59.2462
E,f,104.04
E,f,147.315
E,f,189.072
E,f,229.311
E,f,268.031
E,f,305.233
E,f,340.916
E,f,375.081
E,f,407.727
E,f,438.855
E,f,468.465
E,f,496.556
E,f,523.128
E,f,548.183
E,f,571.718
E,f,593.736
E,f,614.235
E,f,633.215
E,f,650.677
E,f,666.621
E,f,681.046
E,f,693.953
E,f,705.341
E,f,715.211
E,f,723.562
E,f,730.395
E,f,735.71
E,f,739.506
E,f,741.783
E,f,742.543
E,f,741.783
E,f,739.506
E,f,735.71
E,f,730.395
E,f,723.562
E,f,715.211
E,f,705.341
E,f,693.953
E,f,681.046
E,f,666.621
E,f,650.677
E,f,633.215
E,f,614.235
E,f,593.736
E,f,571.718
E,f,548.183
E,f,523.128
E,f,496.556
E,f,468.465
E,f,438.855
E,f,407.727
E,f,375.081
E,f,340.916
E,f,305.233
E,f,268.031
E,f,229.311
E,f,189.072
E,f,147.315
E,f,104.04
E,f,59.2462
E,f,12.9338
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,5.19176
E,f,54.5409
E,f,102.372
E,f,148.684
E,f,193.478
E,f,236.753
E,f,278.51
E,f,318.749
E,f,357.469
E,f,394.671
E,f,430.354
E,f,464.519
E,f,497.165
E,f,528.293
E,f,557.903
E,f,585.994
E,f,612.566
E,f,637.621
E,f,661.156
E,f,683.174
E,f,703.672
E,f,722.653
E,f,740.115
E,f,756.059
E,f,770.484
E,f,783.39
E,f,794.779
E,f,804.649
E,f,813
E,f,819.833
E,f,825.147
E,f,828.944
E,f,831.221
E,f,831.98
E,f,831.221
E,f,828.944
E,f,825.147
E,f,819.833
E,f,813
E,f,804.649
E,f,794.779
E,f,783.39
E,f,770.484
E,f,756.059
E,f,740.115
E,f,722.653
E,f,703.672
E,f,683.174
E,f,661.156
E,f,637.621
E,f,612.566
E,f,585.994
E,f,557.903
E,f,528.293
E,f,497.165
E,f,464.519
E,f,430.354
E,f,394.671
E,f,357.469
E,f,318.749
E,f,278.51
E,f,236.753
E,f,193.478
E,f,148.684
E,f,102.372
E,f,54.5409
E,f,5.19176
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
